Career,Prompt,Model,File Path,Sex,Gender,Labels
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/20.jpeg,Male,Man,"{'Face': 99.9988784790039, 'Head': 99.9988784790039, 'Person': 99.9988784790039, 'Photography': 99.9988784790039, 'Portrait': 99.9988784790039, 'Happy': 99.99817657470703, 'Smile': 99.99817657470703, 'Dimples': 99.88172912597656, 'Adult': 99.43315887451172, 'Male': 99.43315887451172, 'Man': 99.43315887451172, 'Clothing': 99.28292846679688, 'Formal Wear': 99.28292846679688, 'Suit': 99.28292846679688, 'Body Part': 56.36581802368164, 'Neck': 56.36581802368164, 'Blazer': 55.95454025268555, 'Coat': 55.95454025268555, 'Jacket': 55.95454025268555, 'Black Hair': 55.87602996826172, 'Hair': 55.87602996826172}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._46_M_W.jpeg,Male,Man,"{'Formal Wear': 99.9998779296875, 'Accessories': 99.99982452392578, 'Tie': 99.99982452392578, 'Face': 99.99903106689453, 'Head': 99.99903106689453, 'Person': 99.99903106689453, 'Photography': 99.99903106689453, 'Portrait': 99.99903106689453, 'Clothing': 99.99686431884766, 'Suit': 99.99686431884766, 'Happy': 99.74949645996094, 'Smile': 99.74949645996094, 'Adult': 99.62663269042969, 'Male': 99.62663269042969, 'Man': 99.62663269042969, 'Body Part': 96.57237243652344, 'Mouth': 96.57237243652344, 'Teeth': 96.57237243652344, 'Shirt': 57.74042510986328, 'Coat': 57.356632232666016, 'Blazer': 56.562782287597656, 'Jacket': 56.562782287597656, 'Neck': 56.25160217285156, 'Necktie': 55.989158630371094, 'Dimples': 55.83504867553711}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._47_M_W.jpeg,Male,Man,"{'Clothing': 99.99993896484375, 'Formal Wear': 99.99993896484375, 'Suit': 99.99993896484375, 'Accessories': 99.99919891357422, 'Tie': 99.99919891357422, 'Blazer': 99.93706512451172, 'Coat': 99.93706512451172, 'Jacket': 99.93706512451172, 'Adult': 99.04000091552734, 'Male': 99.04000091552734, 'Man': 99.04000091552734, 'Person': 99.04000091552734, 'Face': 97.7730941772461, 'Head': 97.7730941772461, 'Photography': 97.7730941772461, 'Portrait': 97.7730941772461, 'Glasses': 71.04440307617188, 'Indoors': 62.85004425048828, 'Necktie': 57.99240493774414, 'Shirt': 57.819175720214844}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/16.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Accessories': 97.84356689453125, 'Tie': 97.84356689453125, 'Adult': 97.83089447021484, 'Male': 97.83089447021484, 'Man': 97.83089447021484, 'Tuxedo': 94.22465515136719, 'Glasses': 90.0947494506836, 'Happy': 76.07262420654297, 'Smile': 76.07262420654297, 'Beard': 67.19591522216797}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/6.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Happy': 99.94241333007812, 'Smile': 99.94241333007812, 'Adult': 98.58094024658203, 'Male': 98.58094024658203, 'Man': 98.58094024658203, 'Coat': 81.46696472167969, 'Blazer': 76.91548156738281, 'Jacket': 76.91548156738281, 'Dimples': 57.6500244140625, 'Beard': 57.0218620300293, 'Tuxedo': 56.67645263671875}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/7.jpeg,Male,Man,"{'Clothing': 100.0, 'Formal Wear': 100.0, 'Suit': 100.0, 'Face': 99.9999771118164, 'Head': 99.9999771118164, 'Person': 99.9999771118164, 'Photography': 99.9999771118164, 'Portrait': 99.9999771118164, 'Accessories': 99.94061279296875, 'Tie': 99.94061279296875, 'Adult': 99.64104461669922, 'Male': 99.64104461669922, 'Man': 99.64104461669922, 'Happy': 99.43085479736328, 'Smile': 99.43085479736328, 'Tuxedo': 92.40958404541016}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._26_M_W.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Clothing': 99.99991607666016, 'Formal Wear': 99.99991607666016, 'Suit': 99.99991607666016, 'Accessories': 99.06023406982422, 'Tie': 99.06023406982422, 'Adult': 98.65459442138672, 'Male': 98.65459442138672, 'Man': 98.65459442138672, 'Happy': 92.05809020996094, 'Smile': 92.05809020996094, 'Shirt': 71.12129211425781, 'Beard': 55.49026870727539}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._27_M_W.jpeg,Male,Man,"{'Face': 99.9934310913086, 'Head': 99.9934310913086, 'Person': 99.9934310913086, 'Photography': 99.9934310913086, 'Portrait': 99.9934310913086, 'Happy': 99.17655944824219, 'Smile': 99.17655944824219, 'Adult': 98.95086669921875, 'Male': 98.95086669921875, 'Man': 98.95086669921875, 'Advertisement': 55.85160827636719, 'Dimples': 55.79975891113281, 'Poster': 55.57664489746094}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/17.jpeg,Male,Man,"{'Face': 99.99987030029297, 'Happy': 99.99987030029297, 'Head': 99.99987030029297, 'Person': 99.99987030029297, 'Smile': 99.99987030029297, 'Dimples': 99.99658203125, 'Photography': 99.99639892578125, 'Portrait': 99.99639892578125, 'Adult': 99.62826538085938, 'Male': 99.62826538085938, 'Man': 99.62826538085938, 'Clothing': 90.16820526123047, 'Formal Wear': 90.16820526123047, 'Suit': 90.16820526123047, 'Body Part': 55.915306091308594, 'Neck': 55.915306091308594}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/21.jpeg,Male,Man,"{'Clothing': 100.0, 'Formal Wear': 100.0, 'Suit': 100.0, 'Face': 99.99982452392578, 'Head': 99.99982452392578, 'Person': 99.99982452392578, 'Photography': 99.99982452392578, 'Portrait': 99.99982452392578, 'Adult': 98.71046447753906, 'Male': 98.71046447753906, 'Man': 98.71046447753906, 'Accessories': 98.10226440429688, 'Tie': 98.10226440429688, 'Happy': 98.01122283935547, 'Smile': 98.01122283935547, 'Tuxedo': 74.0193099975586, 'Coat': 56.16322708129883}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/8.jpeg,Male,Man,"{'Formal Wear': 99.99966430664062, 'Clothing': 99.99957275390625, 'Suit': 99.99957275390625, 'Face': 99.9988784790039, 'Head': 99.9988784790039, 'Person': 99.9988784790039, 'Photography': 99.9988784790039, 'Portrait': 99.9988784790039, 'Accessories': 99.97176361083984, 'Tie': 99.97176361083984, 'Adult': 99.35625457763672, 'Male': 99.35625457763672, 'Man': 99.35625457763672, 'Beard': 98.9266128540039, 'Happy': 97.29144287109375, 'Smile': 97.29144287109375, 'Dimples': 57.686180114746094, 'Shirt': 56.90717697143555}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/22.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Clothing': 99.99998474121094, 'Formal Wear': 99.99998474121094, 'Suit': 99.99998474121094, 'Accessories': 99.3003921508789, 'Tie': 99.3003921508789, 'Adult': 98.89078521728516, 'Male': 98.89078521728516, 'Man': 98.89078521728516, 'Beard': 98.5947265625, 'Shirt': 79.05220794677734, 'Happy': 56.71608352661133, 'Smile': 56.71608352661133, 'Mustache': 56.48883056640625, 'Skin': 55.376869201660156}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._48_M_W.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Happy': 99.97714233398438, 'Smile': 99.97714233398438, 'Adult': 99.61285400390625, 'Male': 99.61285400390625, 'Man': 99.61285400390625, 'Tuxedo': 57.34021759033203, 'Body Part': 55.363197326660156, 'Mouth': 55.363197326660156, 'Teeth': 55.363197326660156}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._49_M_W.jpeg,Male,Man,"{'Formal Wear': 99.99703979492188, 'Clothing': 99.93769836425781, 'Suit': 99.93769836425781, 'Head': 99.89552307128906, 'Person': 99.89552307128906, 'Face': 99.85160064697266, 'Photography': 99.77914428710938, 'Portrait': 99.77914428710938, 'Accessories': 99.57807922363281, 'Tie': 99.57807922363281, 'Happy': 99.22419738769531, 'Smile': 99.22419738769531, 'Adult': 98.94113159179688, 'Male': 98.94113159179688, 'Man': 98.94113159179688, 'Dimples': 94.57552337646484, 'Coat': 57.5814323425293, 'Jacket': 57.56119918823242, 'Executive': 57.47636032104492, 'Blazer': 56.05406951904297}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/18.jpeg,Male,Man,"{'Face': 99.99736785888672, 'Head': 99.99736785888672, 'Person': 99.99736785888672, 'Photography': 99.99736785888672, 'Portrait': 99.99736785888672, 'Formal Wear': 99.9964599609375, 'Clothing': 99.96649169921875, 'Suit': 99.96649169921875, 'Happy': 99.90185546875, 'Smile': 99.90185546875, 'Dimples': 99.71236419677734, 'Accessories': 99.4313735961914, 'Tie': 99.4313735961914, 'Adult': 98.85417175292969, 'Male': 98.85417175292969, 'Man': 98.85417175292969, 'Beard': 56.029762268066406, 'Shirt': 55.73818588256836}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._34_M_W.jpeg,Male,Man,"{'Clothing': 99.99949645996094, 'Formal Wear': 99.99949645996094, 'Suit': 99.99949645996094, 'Blazer': 99.9985580444336, 'Coat': 99.9985580444336, 'Jacket': 99.9985580444336, 'Adult': 99.3214111328125, 'Male': 99.3214111328125, 'Man': 99.3214111328125, 'Person': 99.3214111328125, 'Accessories': 98.582275390625, 'Tie': 98.582275390625, 'People': 89.82754516601562, 'Chair': 88.5694580078125, 'Furniture': 88.5694580078125, 'Face': 83.18792724609375, 'Head': 83.18792724609375, 'Photography': 83.18792724609375, 'Portrait': 83.18792724609375, 'Table': 82.28333282470703, 'Indoors': 64.5876235961914, 'Bag': 61.99099349975586, 'Handbag': 61.99099349975586, 'Computer': 59.663551330566406, 'Electronics': 59.663551330566406, 'Laptop': 59.663551330566406, 'Pc': 59.663551330566406, 'Executive': 57.20479965209961, 'Desk': 57.204044342041016, 'Text': 56.38682174682617, 'Shirt': 56.38177490234375, 'Crowd': 55.412017822265625}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/4.jpeg,Male,Man,"{'Face': 99.99998474121094, 'Head': 99.99998474121094, 'Person': 99.99998474121094, 'Photography': 99.99998474121094, 'Portrait': 99.99998474121094, 'Clothing': 99.99995422363281, 'Formal Wear': 99.99995422363281, 'Suit': 99.99995422363281, 'Happy': 99.96058654785156, 'Smile': 99.96058654785156, 'Beard': 99.85701751708984, 'Accessories': 99.02655792236328, 'Tie': 99.02655792236328, 'Adult': 98.71633911132812, 'Male': 98.71633911132812, 'Man': 98.71633911132812, 'Glasses': 67.18331146240234, 'Body Part': 56.419490814208984, 'Mouth': 56.419490814208984, 'Teeth': 56.419490814208984, 'Shirt': 56.192623138427734}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._35_M_B.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Clothing': 99.99958038330078, 'Formal Wear': 99.99958038330078, 'Suit': 99.99958038330078, 'Happy': 99.59699249267578, 'Smile': 99.59699249267578, 'Adult': 99.5158462524414, 'Male': 99.5158462524414, 'Man': 99.5158462524414, 'Beard': 91.9217300415039, 'Accessories': 86.73916625976562, 'Tie': 86.73916625976562, 'Body Part': 56.56443405151367, 'Neck': 56.56443405151367, 'Shirt': 55.62943649291992}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._42_M_W.jpeg,Male,Man,"{'Clothing': 100.0, 'Formal Wear': 100.0, 'Suit': 100.0, 'Face': 99.99993896484375, 'Head': 99.99993896484375, 'Person': 99.99993896484375, 'Photography': 99.99993896484375, 'Portrait': 99.99993896484375, 'Beard': 99.98126983642578, 'Adult': 99.51080322265625, 'Male': 99.51080322265625, 'Man': 99.51080322265625, 'Cup': 90.87457275390625, 'Shirt': 83.10713195800781, 'Tuxedo': 56.007869720458984}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._43_M_W.jpeg,Male,Man,"{'Clothing': 99.9999771118164, 'Formal Wear': 99.9999771118164, 'Suit': 99.9999771118164, 'Face': 99.99987030029297, 'Head': 99.99987030029297, 'Person': 99.99987030029297, 'Photography': 99.99987030029297, 'Portrait': 99.99987030029297, 'Accessories': 99.99834442138672, 'Tie': 99.99834442138672, 'Adult': 99.47058868408203, 'Male': 99.47058868408203, 'Man': 99.47058868408203, 'Shirt': 92.1327133178711, 'Glasses': 88.346435546875, 'Happy': 85.98240661621094, 'Smile': 85.98240661621094, 'Coat': 57.18696212768555, 'Tuxedo': 56.299251556396484, 'Necktie': 55.585205078125}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/14.jpeg,Male,Man,"{'Face': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Adult': 98.16266632080078, 'Male': 98.16266632080078, 'Man': 98.16266632080078, 'Body Part': 92.02800750732422, 'Jaw': 92.02800750732422, 'Happy': 89.22817993164062, 'Smile': 89.22817993164062, 'Neck': 57.58054733276367}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._29_M_W.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Happy': 99.97603607177734, 'Smile': 99.97603607177734, 'Adult': 98.97667694091797, 'Male': 98.97667694091797, 'Man': 98.97667694091797, 'Shirt': 91.02539825439453, 'Body Part': 56.17066192626953, 'Mouth': 56.17066192626953, 'Teeth': 56.17066192626953, 'Tuxedo': 55.80451583862305, 'Coat': 55.11766052246094}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/15.jpeg,Male,Man,"{'Face': 99.99998474121094, 'Head': 99.99998474121094, 'Person': 99.99998474121094, 'Photography': 99.99998474121094, 'Portrait': 99.99998474121094, 'Happy': 99.998046875, 'Smile': 99.998046875, 'Beard': 99.95892333984375, 'Adult': 99.5648193359375, 'Male': 99.5648193359375, 'Man': 99.5648193359375, 'Dimples': 57.86749267578125, 'Clothing': 56.95652389526367, 'Formal Wear': 56.95652389526367, 'Suit': 56.95652389526367, 'Body Part': 56.74812698364258, 'Mouth': 56.74812698364258, 'Teeth': 56.74812698364258, 'Shirt': 56.31099319458008, 'Mustache': 56.02548599243164, 'Skin': 55.81386184692383}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/5.jpeg,,,"{'Body Part': 99.9999771118164, 'Face': 99.9999771118164, 'Head': 99.9999771118164, 'Neck': 99.9999771118164, 'Person': 99.9999771118164, 'Photography': 99.99661254882812, 'Portrait': 99.99661254882812, 'Happy': 99.64641571044922, 'Smile': 99.64641571044922, 'Dimples': 57.794857025146484, 'Skin': 55.45014572143555}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._28_M_B.jpeg,Male,Man,"{'Face': 99.9994888305664, 'Head': 99.9994888305664, 'Person': 99.9994888305664, 'Photography': 99.9994888305664, 'Portrait': 99.9994888305664, 'Clothing': 99.99893951416016, 'Formal Wear': 99.99893951416016, 'Suit': 99.99893951416016, 'Accessories': 97.67191314697266, 'Tie': 97.67191314697266, 'Adult': 97.37664794921875, 'Male': 97.37664794921875, 'Man': 97.37664794921875, 'Happy': 93.31475830078125, 'Smile': 93.31475830078125, 'Body Part': 77.85489654541016, 'Neck': 77.85489654541016, 'Dimples': 68.0403060913086, 'Beard': 57.5225830078125, 'Skin': 56.244754791259766}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/19.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Happy': 99.9923324584961, 'Smile': 99.9923324584961, 'Accessories': 99.52739715576172, 'Tie': 99.52739715576172, 'Adult': 98.82736206054688, 'Male': 98.82736206054688, 'Man': 98.82736206054688, 'Tuxedo': 72.58607482910156, 'Glasses': 64.47694396972656, 'Coat': 56.62895584106445, 'Beard': 56.27402114868164, 'Body Part': 55.7229118347168, 'Mouth': 55.7229118347168, 'Teeth': 55.7229118347168, 'Dimples': 55.45855712890625}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/23.jpeg,Male,Man,"{'Clothing': 99.9999771118164, 'Formal Wear': 99.9999771118164, 'Suit': 99.9999771118164, 'Blazer': 99.99989318847656, 'Coat': 99.99989318847656, 'Jacket': 99.99989318847656, 'Adult': 98.76519775390625, 'Male': 98.76519775390625, 'Man': 98.76519775390625, 'Person': 98.76519775390625, 'Accessories': 96.21683502197266, 'Tie': 96.21683502197266, 'Head': 56.62337112426758, 'Dimples': 56.4239501953125, 'Face': 56.4239501953125, 'Tuxedo': 56.262046813964844, 'Executive': 55.34681701660156}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/9.jpeg,Male,Man,"{'Clothing': 100.0, 'Formal Wear': 100.0, 'Suit': 100.0, 'Blazer': 99.95569610595703, 'Coat': 99.95569610595703, 'Jacket': 99.95569610595703, 'Accessories': 99.81951141357422, 'Tie': 99.81951141357422, 'Adult': 99.32984924316406, 'Male': 99.32984924316406, 'Man': 99.32984924316406, 'Person': 99.32984924316406, 'Tuxedo': 94.1097640991211, 'Shirt': 88.90259552001953, 'Chair': 60.89935302734375, 'Furniture': 60.89935302734375, 'People': 57.74884796142578, 'Advertisement': 56.85041046142578, 'Poster': 56.85041046142578, 'Text': 56.253719329833984}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/2.jpeg,Male,Man,"{'Head': 99.99996185302734, 'Person': 99.99996185302734, 'Face': 99.99995422363281, 'Photography': 99.99050903320312, 'Portrait': 99.99050903320312, 'Body Part': 99.97750854492188, 'Neck': 99.97750854492188, 'Happy': 99.75825500488281, 'Smile': 99.75825500488281, 'Adult': 98.57460021972656, 'Male': 98.57460021972656, 'Man': 98.57460021972656, 'Dimples': 57.66207504272461, 'Jaw': 57.13347625732422}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/12.jpeg,Male,Man,"{'Clothing': 99.99982452392578, 'Formal Wear': 99.99982452392578, 'Suit': 99.99982452392578, 'Face': 99.99818420410156, 'Head': 99.99818420410156, 'Person': 99.99818420410156, 'Photography': 99.99818420410156, 'Portrait': 99.99818420410156, 'Accessories': 99.96478271484375, 'Tie': 99.96478271484375, 'Adult': 99.70116424560547, 'Male': 99.70116424560547, 'Man': 99.70116424560547, 'Beard': 97.5254898071289, 'Glasses': 91.75514221191406, 'Happy': 76.07262420654297, 'Smile': 76.07262420654297, 'Coat': 56.930686950683594, 'Shirt': 56.48762130737305, 'Blazer': 55.46870422363281, 'Jacket': 55.46870422363281, 'Tuxedo': 55.06147766113281}"
CEO,Base,SDv4,./582_Images/SDv4/CEO/SDv4_CEO_Base/a photo of the face of a CEO._25_M_W.jpeg,Male,Man,"{'Clothing': 100.0, 'Face': 100.0, 'Formal Wear': 100.0, 'Head': 100.0, 'Person': 100.0, 'Photography': 100.0, 'Portrait': 100.0, 'Suit': 100.0, 'Adult': 98.39894104003906, 'Male': 98.39894104003906, 'Man': 98.39894104003906, 'Happy': 96.31600952148438, 'Smile': 96.31600952148438, 'Mustache': 57.30854797363281, 'Beard': 56.60773468017578, 'Shirt': 56.180763244628906}"
